username,created_at,likes,comments,shares,views,engagement_rate,post_date,posts_per_day,views_per_video,likes_per_video,comments_per_video,hour,weekday
everebmannn,2025-12-26 14:35:00+00:00,267,0,1,1738,0.1542002301495972,2025-12-26,1,1738.0,267.0,0.0,14,Friday
lulltv,2025-12-25 16:57:11+00:00,18000,337,696,333800,0.0570191731575793,2025-12-25,1,333800.0,18000.0,337.0,16,Thursday
jaswinterr,2025-12-13 21:55:32+00:00,35400,110,454,184900,0.194505137912385,2025-12-13,1,184900.0,35400.0,110.0,21,Saturday
babydollay7,2025-12-15 23:02:38+00:00,47600,215,1384,162300,0.3031361675908811,2025-12-15,1,162300.0,47600.0,215.0,23,Monday
thenoellekate,2025-12-25 15:58:46+00:00,5982,34,13,25700,0.2345914396887159,2025-12-25,1,25700.0,5982.0,34.0,15,Thursday
obr_macha,2025-12-25 11:32:05+00:00,3162,11,45,10100,0.3186138613861386,2025-12-25,1,10100.0,3162.0,11.0,11,Thursday
geminivlogss,2025-12-17 00:17:44+00:00,4521,40,66,25900,0.1786486486486486,2025-12-17,1,25900.0,4521.0,40.0,0,Wednesday
mckennasalazar,2025-11-14 02:11:10+00:00,104300,637,2793,659000,0.1634749620637329,2025-11-14,1,659000.0,104300.0,637.0,2,Friday
jordankerrr,2025-12-19 21:44:15+00:00,5450,33,31,41600,0.1325480769230769,2025-12-19,1,41600.0,5450.0,33.0,21,Friday
mayachanel111,2025-12-26 16:28:31+00:00,1647,28,8,5932,0.2837154416722859,2025-12-26,1,5932.0,1647.0,28.0,16,Friday
softly.jali,2025-12-26 14:56:02+00:00,2398,37,60,6829,0.3653536388929565,2025-12-26,1,6829.0,2398.0,37.0,14,Friday
alondra.leneisha,2025-12-25 15:05:56+00:00,73300,401,765,407500,0.1827386503067484,2025-12-25,1,407500.0,73300.0,401.0,15,Thursday
iwantcandy77,2025-12-26 14:11:31+00:00,14100,61,73,88000,0.16175,2025-12-26,1,88000.0,14100.0,61.0,14,Friday
nicolelaeno,2025-12-26 20:17:34+00:00,6734,75,8,29900,0.2279933110367893,2025-12-26,1,29900.0,6734.0,75.0,20,Friday
isabelledittrick,2025-12-26 15:18:04+00:00,71,3,0,629,0.1176470588235294,2025-12-26,1,629.0,71.0,3.0,15,Friday
sydneyconverse,2025-03-03 18:16:23+00:00,23900,685,3018,596100,0.0463059889280322,2025-03-03,1,596100.0,23900.0,685.0,18,Monday
officialmrkebs24,2023-02-16 13:41:13+00:00,5351,191,594,167300,0.03667662881052,2023-02-16,1,167300.0,5351.0,191.0,13,Thursday
danouewely,2025-12-24 16:29:31+00:00,403,87,8,3575,0.1393006993006993,2025-12-24,1,3575.0,403.0,87.0,16,Wednesday
kimdub26,2025-12-24 17:07:10+00:00,64,15,5,2566,0.0327357755261106,2025-12-24,1,2566.0,64.0,15.0,17,Wednesday
matiana.rodriguez8,2025-12-09 00:12:17+00:00,5,1,0,1148,0.0052264808362369,2025-12-09,1,1148.0,5.0,1.0,0,Tuesday
user172793939917,2025-02-13 00:10:02+00:00,109,9,2,1565,0.0766773162939297,2025-02-13,1,1565.0,109.0,9.0,0,Thursday
aarimonaee,2024-02-15 02:26:50+00:00,219300,720,1747,1500000,0.1478446666666666,2024-02-15,1,1500000.0,219300.0,720.0,2,Thursday
dareksoul,2024-04-27 13:42:37+00:00,64300,98,233,941700,0.0686322608049272,2024-04-27,1,941700.0,64300.0,98.0,13,Saturday
skizzy666,2023-09-05 23:37:48+00:00,128700,723,5342,1200000,0.1123041666666666,2023-09-05,1,1200000.0,128700.0,723.0,23,Tuesday
juttsaab.2049,2025-12-24 15:38:37+00:00,61,4,0,202,0.3217821782178218,2025-12-24,1,202.0,61.0,4.0,15,Wednesday
queen_egirll27,2024-10-18 20:11:09+00:00,97600,426,6410,1100000,0.0949418181818181,2024-10-18,1,1100000.0,97600.0,426.0,20,Friday
sunainamemon8,2025-12-24 15:23:28+00:00,1685,162,20,6860,0.2721574344023323,2025-12-24,1,6860.0,1685.0,162.0,15,Wednesday
ondro.va,2025-12-23 10:35:41+00:00,126500,207,3632,931900,0.1398637192831849,2025-12-23,1,931900.0,126500.0,207.0,10,Tuesday
hearts2miraaa,2025-12-23 19:53:35+00:00,32300,157,2837,197800,0.178432760364004,2025-12-23,1,197800.0,32300.0,157.0,19,Tuesday
viralmarketingagency,2024-11-07 04:04:30+00:00,67000,905,3040,717800,0.0988367233212594,2024-11-07,1,717800.0,67000.0,905.0,4,Thursday
gld_anni,2025-12-24 15:30:45+00:00,9156,27,503,84300,0.1148991696322657,2025-12-24,1,84300.0,9156.0,27.0,15,Wednesday
user..goneeee,2025-12-25 00:03:36+00:00,1763,83,219,12000,0.1720833333333333,2025-12-25,1,12000.0,1763.0,83.0,0,Thursday
user9843780532,2025-12-24 15:28:43+00:00,1114,68,9,4974,0.2394451145958986,2025-12-24,1,4974.0,1114.0,68.0,15,Wednesday
ik804loverr,2025-10-10 21:28:07+00:00,2851,163,810,315100,0.0121358298952713,2025-10-10,1,315100.0,2851.0,163.0,21,Friday
go.viral.666,2025-09-02 21:07:15+00:00,1809,535,258,132500,0.0196377358490566,2025-09-02,1,132500.0,1809.0,535.0,21,Tuesday
jair.gonzalezz,2022-04-02 18:53:39+00:00,36700,60,49,724900,0.0507780383501172,2022-04-02,1,724900.0,36700.0,60.0,18,Saturday
1.v197,2025-12-21 10:57:43+00:00,2684,63,102,34300,0.0830612244897959,2025-12-21,1,34300.0,2684.0,63.0,10,Sunday
my.ns01,2025-08-19 10:49:07+00:00,14200,172,590,203600,0.0734872298624754,2025-08-19,1,203600.0,14200.0,172.0,10,Tuesday
richardino69,2025-07-21 15:15:46+00:00,35500,715,3067,240500,0.1633347193347193,2025-07-21,1,240500.0,35500.0,715.0,15,Monday
viral_logs946,2025-12-20 15:11:49+00:00,18100,225,1208,1500000,0.013022,2025-12-20,1,1500000.0,18100.0,225.0,15,Saturday
ashxyqw.0,2025-07-08 11:51:10+00:00,7184,25,293,65800,0.1140121580547112,2025-07-08,1,65800.0,7184.0,25.0,11,Tuesday
zoeyhope.official,2025-02-01 14:35:12+00:00,19900,195,268,352800,0.0577182539682539,2025-02-01,1,352800.0,19900.0,195.0,14,Saturday
slimbabylyss,2025-12-23 01:28:26+00:00,235,3,6,4311,0.0565993968916724,2025-12-23,1,4311.0,235.0,3.0,1,Tuesday
veritoaguassss,2025-12-09 02:26:11+00:00,24700,159,315,225600,0.1115868794326241,2025-12-09,1,225600.0,24700.0,159.0,2,Tuesday
marilen4_tz,2025-08-27 19:52:27+00:00,1117,94,26,8392,0.1474022878932316,2025-08-27,1,8392.0,1117.0,94.0,19,Wednesday
onechikiii,2024-05-10 18:33:08+00:00,46400,606,4909,896600,0.0579020745036805,2024-05-10,1,896600.0,46400.0,606.0,18,Friday
diorb4e__,2025-08-08 14:48:42+00:00,30700,56,718,231300,0.1360743623000432,2025-08-08,1,231300.0,30700.0,56.0,14,Friday
uchiha.29m,2025-02-06 16:01:38+00:00,14400,78,404,158700,0.0937744171392564,2025-02-06,1,158700.0,14400.0,78.0,16,Thursday
sweetnthicc,2025-12-26 22:53:59+00:00,9,2,0,50,0.22,2025-12-26,1,50.0,9.0,2.0,22,Friday
nior_q19,2025-12-15 19:07:18+00:00,50300,167,2696,342900,0.1550393700787401,2025-12-15,1,342900.0,50300.0,167.0,19,Monday
viralmarketingagency,2024-11-09 07:41:49+00:00,94700,926,4211,1000000,0.099837,2024-11-09,1,1000000.0,94700.0,926.0,7,Saturday
go.viral.666,2025-08-19 08:18:38+00:00,1332,140,33,68700,0.0219068413391557,2025-08-19,1,68700.0,1332.0,140.0,8,Tuesday
emma.mullahi,2025-12-14 09:29:30+00:00,28000,92,539,141200,0.2027691218130311,2025-12-14,1,141200.0,28000.0,92.0,9,Sunday
tizigurevichh,2025-05-18 22:26:22+00:00,412,98,9,29400,0.0176530612244897,2025-05-18,1,29400.0,412.0,98.0,22,Sunday
landonn149,2025-10-27 21:07:58+00:00,41800,559,599,281800,0.1524414478353442,2025-10-27,1,281800.0,41800.0,559.0,21,Monday
uchiha.29m,2025-10-22 08:14:35+00:00,17400,96,391,168800,0.1059656398104265,2025-10-22,1,168800.0,17400.0,96.0,8,Wednesday
shakila.moon.usa,2025-12-26 22:55:39+00:00,12,1,0,145,0.0896551724137931,2025-12-26,1,145.0,12.0,1.0,22,Friday
jakegoodmanmd,2021-08-15 21:00:20+00:00,30800,360,1354,416900,0.0779899256416406,2021-08-15,1,416900.0,30800.0,360.0,21,Sunday
doctor.mark,2021-08-23 10:23:56+00:00,86900,721,579,609200,0.1447800393959291,2021-08-23,1,609200.0,86900.0,721.0,10,Monday
itsangelicageorges,2021-08-16 01:30:24+00:00,97000,278,1135,596900,0.1648735131512816,2021-08-16,1,596900.0,97000.0,278.0,1,Monday
thesecrethistoryofhallie,2021-08-23 04:05:08+00:00,89900,258,461,434600,0.2085112747353888,2021-08-23,1,434600.0,89900.0,258.0,4,Monday
celine.handoko,2021-09-08 03:54:54+00:00,32600,163,257,470000,0.0702553191489361,2021-09-08,1,470000.0,32600.0,163.0,3,Wednesday
whitecoatpending,2021-08-26 16:07:32+00:00,136800,381,2656,640500,0.2183247462919594,2021-08-26,1,640500.0,136800.0,381.0,16,Thursday
averiebishop,2021-08-21 21:17:53+00:00,35200,102,485,267000,0.1340337078651685,2021-08-21,1,267000.0,35200.0,102.0,21,Saturday
registerednurserhae,2021-08-21 16:40:12+00:00,25600,77,1634,270900,0.1008157991878922,2021-08-21,1,270900.0,25600.0,77.0,16,Saturday
drkenialeon,2021-09-11 14:09:51+00:00,38300,130,416,344600,0.1127278003482298,2021-09-11,1,344600.0,38300.0,130.0,14,Saturday
ericassleepyhollow,2021-09-11 00:58:42+00:00,55400,270,689,262400,0.2147827743902439,2021-09-11,1,262400.0,55400.0,270.0,0,Saturday
bikiniisandbelliniis,2021-09-12 02:54:11+00:00,100300,194,291,607200,0.1659832015810276,2021-09-12,1,607200.0,100300.0,194.0,2,Sunday
studyweve,2025-12-12 20:48:32+00:00,92000,152,2000,436900,0.2155001144426642,2025-12-12,1,436900.0,92000.0,152.0,20,Friday
studyingwithshrisha,2025-12-15 14:03:55+00:00,55300,94,434,189300,0.294918119387216,2025-12-15,1,189300.0,55300.0,94.0,14,Monday
eemlyy,2025-12-14 19:14:09+00:00,25400,43,390,110900,0.2329395852119026,2025-12-14,1,110900.0,25400.0,43.0,19,Sunday
sei__on,2025-12-15 09:01:17+00:00,59200,236,1854,216500,0.283094688221709,2025-12-15,1,216500.0,59200.0,236.0,9,Monday
itsherweng_,2025-12-13 23:08:23+00:00,76000,159,3244,483100,0.1643614158559304,2025-12-13,1,483100.0,76000.0,159.0,23,Saturday
laeticiahh,2025-12-03 20:39:46+00:00,17100,65,585,137600,0.1289970930232558,2025-12-03,1,137600.0,17100.0,65.0,20,Wednesday
aleksandrahoeye,2025-12-15 21:03:05+00:00,10700,12,181,51300,0.2123391812865497,2025-12-15,1,51300.0,10700.0,12.0,21,Monday
noelia_moore,2025-12-16 15:43:14+00:00,57600,98,1260,206400,0.2856492248062015,2025-12-16,1,206400.0,57600.0,98.0,15,Tuesday
secret.study.acc,2025-12-16 13:18:07+00:00,33900,157,754,153500,0.2267817589576547,2025-12-16,1,153500.0,33900.0,157.0,13,Tuesday
artofsmartedu,2021-07-14 09:05:41+00:00,38000,315,620,183900,0.2117183251767264,2021-07-14,1,183900.0,38000.0,315.0,9,Wednesday
