title,view_count,like_count,comment_count,duration_seconds
So simple to make! 🍈🍈 Guava bites | Traditional Me,3376590,135578,312,52
Best Chicken Lollipops Ever | Wild Cookbook,3302781,229031,317,49
Amazing satisfying clips of street food p10 #shorts #satisfyingvideos #oddlysatisfying,3285450,33431,12,13
2 ways to wear 🦋 You don’t have to be a tailor to make this dress | Sewing butterfly dress,3118767,30951,348,854
Tose Nainaa Milaai Ke | 10 December 2023 | Full Episode 91 | Dangal TV,3114372,42448,732,1329
Well ripened Pink Jackfruit !🍈 Put this magical fruit into kasari & made a young coconut drink too.,3041956,38465,2578,1292
Kannana Kanne - Special Promo | 04 Mar 2023 | Sun TV Serial | Tamil Serial,3009803,34105,795,39
UNKNOWN GENETIC FREAK - NO STEROIDS NO GYM - MR. WAD MOTIVATION,3017465,54500,4863,496
Black Mango Curry | Wild Cookbook,2976115,183268,531,60
Imlie | इमली | Imlie ne kiya Aryan pe hamla !,2971610,22040,102,586
creditos:elmaxz_ creditos:lips_asmr_w #short #asmr #caramelo #elmaxz,2967063,269150,178,61
Mal Mal Hina (මල් මල් හිනා) | Group Song | Dream Star Season 11 | TV Derana,2829479,23202,1139,187
Thol Peththa Rosa Pata - Sujan Fernando (Official Music Video),2689434,34542,967,223
Drawing is easy 🫶🏻,4543122,74609,492,21
Indian army ke liye ek like 👍 #army #armylover #armylife #trending #shorts #viral,4681268,339221,572,60
Weight Loss Workout easily at home #weightloss #viral #yoga #calmdown,4151404,99143,63,5
Science Myths | #shorts #mrspark27,3964041,102904,50,32
#edits #tiktok,2874732,205156,1646,46
Catriona gray 👑 Miss universe 2018 😍 Swimsuit ❀ #missuniverse2018 #catrionagray,2683122,93435,495,32
දැක්ක ලස්සනම Twins 👯‍♀️දෙන්න 👌දුලක්ෂි & අයේෂි 💞Dulakshi  & Ayeshi 💖Twins,2624363,87018,935,19
kabeh dilakoni pokok halal guys. proses carbon celup #otomotif #shortsvideo #tutorial #tips #mekanik,2737369,78183,184,59
Best Dumplings Ever 🥟| Wild Cookbook,2463962,179437,537,59
Kayal - Promo | 24 Mar 2023 | Sun TV Serial | Tamil Serial,2433421,24583,277,30
Seared pork cheese bread . 🐖🥪 #shorts  #food,2382451,103029,798,39
Idhu Ethirpaarkkatha Twist | Sundari - Best Scenes | Sun TV | Tamil Serial,2341883,20544,368,282
Java apples! as a jammy filler for my Custard cloud Pudding & made Pink Cordial too | Traditional Me,2208405,21249,777,1651
Bayi Panda Kiki Rajin Menggosok Gigi setiap hari | kartun anak | bahasa Indonesia| babybus #shorts,2217153,51115,0,61
My Lemon lime... Fish bake! 😃 | Traditional Me,2056446,99153,177,60
Doctor Reacts To Anatomy Lessons & First Ever Surgery!,2028783,134909,1050,48
Baa Baa Black Sheep! | CoComelon Animal Time | Animal Nursery Rhymes,2033004,11444,0,1871
DJ JNK X @Moniyo_  - Ratha Gaaya (රථගාය) - Official Music Video,1991913,56870,3153,283
Floury pumpkins🎃!!Entire family enjoy every toothsome pumpkin dishes|Poorna-The nature girl|,1838574,29928,2096,1217
Imlie | इमली | Imlie ne sunaai Aryan ko lori!,1691382,13961,113,555
Rosa Batiththi (Remix) - Mangala Denex  @EVOBEATSLK  | @MrPravish | Sinhala New Songs,1654813,14725,312,176
@LakaiSikai  - Lakaa Ko 🤨😳⁉️| ලකයි සිකයි - ලකා කෝ | Monthly Special Comedy😍,1643421,47384,1381,1698
Aaley Wandanawak - ආලේ වන්දනාවක් Galana Gangawo | Dilki Uresha-Nadun Gimhana | Official Music Video,1645206,29038,1415,231
Imlie | इमली | Aryan ne Imlie ko chopsticks use karna sikhaya!,1620783,14323,93,664
ධර්ම යුද්ධය 2 😱 | ද්‍රිශ්‍යම් 2 2023 Movie Explained in Sinhala | Inside Cinemax Sinhala Review,1593645,31857,1589,2772
"Wood-oven ""Baked Rice"", wrapped in banana leaf was my top-secret recipe until today!| Traditional Me",1548398,23784,851,1346
Imlie | इमली | Shaadi ke Mauke par Sab khel rahe hai Bollywood Game part 2,1145261,10089,92,515
Imlie | इमली | Kya Imlie aur Aryan ek hi kamre mein rahenge?,1144760,9682,86,525
Imlie | इमली | Imlie aur Aryan ne kaha ek doosre ko sorry!,1143577,9694,129,740
කොහොමද ඒ රඟන රැඟුම් 😍❤ #shorts,1137580,15720,236,60
Imlie | इमली | Imlie ke liye Aryan ne phad diya apna shirt!,1135849,9102,139,631
Whole spicy FISH BAKE with lemon & lime! Blue olives made it more tasty & beautiful!| Traditional Me,1048840,22014,867,1525
Non-contact AC voltage Detector | Electronics #jlcpcb,1043199,44254,120,60
Purple Cabbages added more colour to already colourful dishes! Bro made pickles too | Traditional Me,1045022,16570,566,1787
Imlie | इमली | Kya Aryan khayega Imlie ke hath ka bana hua khana?,1010170,9648,100,615
Imlie | इमली | Aryan ne bachaai Imlie ki jaan!,1009729,9087,136,472
Poornima Lakshani | Mal Mal Sariya (මල් මල් සාරිය) | Knockouts - Ranking Chairs | The Voice SL,1003127,23056,931,752
Imlie | इमली | Imlie aur Aryan bane dance partner !,1005034,9212,92,514
Imlie | इमली | Imlie par aayi musibat !,998668,7046,38,525
Imlie | इमली | Imlie ko mila apna bada sa kamara !,984082,9228,67,679
Kodi Gaha Yata | Episode 03 - (2023-03-11) | ITN,966871,16181,363,1209
Imlie | इमली | Kyun ki Imlie ne Aryan se shaadi?,963537,9437,102,604
Imlie | इमली | Aryan ne uthaaya Imlie ko apni baahon mein!,930129,7753,71,600
Imlie | इमली | Holi ke nashe mein ki Imlie-Aryan ne khoob masti!,932974,8555,65,674
Imlie | इमली | Kya Aryan karega Imlie ki help?,931108,9796,95,685
Imlie | इमली | Kiska bhoot dekh liya Imlie ne?,930607,8006,70,589
🍈🍈 Mmm... Guava Curry! 😋 😋 spicyyyyy... | Traditional Me,920249,39256,105,60
Paththini kathawa‍‍‍‌|3D animated short film (පත්තිනි)|Fairy World|Sri lanka|Sinhala 3D,921881,13331,1190,1218
Praana (ප්‍රාණ) | Tele Movie | Sirasa TV,906956,10034,378,7280
Imlie | इमली | Kya Imlie kabhi maa nahi ban sakti?,908722,7326,70,574
Lapati Sina - Chulla Danuddara Jathakaya | ලපටි සිනා - චුල්ල ධනුද්දර ජාතකය | 3D Animated Short Film,909790,9964,340,964
Imlie | इमली | Beautiful moments at Aryan's birthday celebration!,895927,7527,60,466
Deseos (PT’3) #shorts #historia #ecuador,895056,135333,123,49
Neegalum ippadi thana 😅 Full video link in comment ❤️ #mabucrush,886137,67753,110,60
25 Most Beautiful Tiny And Small Towns In Europe | Europe Travel Guide,881066,12951,239,2760
Cleaning Goes WRONG!!! | Kids TV Shows - Full Episodes | Cartoons For Kids | Fun Anime | Moonbug,879349,568,0,8264
Kodi Gaha Yata | Episode 30 - (2023-06-18) | ITN,869933,13633,757,1133
Kodi Gaha Yata | Episode 24 - (2023-05-27) | ITN,868328,14267,543,1143
Biggest LIME harvest ever! Tree with 1000s of limes to make my Bro's favourites! | Traditional Me,860431,14809,636,1720
Anandha Ragam - Ep 184 | 02 April 2023 | Tamil Serial | Sun TV,850284,8476,73,1326
